USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  22724 13600 ?        Ss   08:48   0:01 /sbin/init splash
root         100  0.0  0.0      0     0 ?        S    08:48   0:00 [cpuhp/1]
root         101  0.0  0.0      0     0 ?        S    08:48   0:00 [idle_inject/1]
root         102  0.0  0.0      0     0 ?        S    08:48   0:00 [migration/1]
root         103  0.0  0.0      0     0 ?        S    08:48   0:00 [ksoftirqd/1]
root         105  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/1:0H-events_highpri]
root         106  0.0  0.0      0     0 ?        S    08:48   0:00 [cpuhp/3]
root         107  0.0  0.0      0     0 ?        S    08:48   0:00 [idle_inject/3]
root         108  0.0  0.0      0     0 ?        S    08:48   0:00 [migration/3]
root         109  0.0  0.0      0     0 ?        S    08:48   0:00 [ksoftirqd/3]
root         111  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/3:0H-events_highpri]
root         112  0.0  0.0      0     0 ?        S    08:48   0:00 [cpuhp/5]
root         113  0.0  0.0      0     0 ?        S    08:48   0:00 [idle_inject/5]
root         114  0.0  0.0      0     0 ?        S    08:48   0:00 [migration/5]
root         115  0.0  0.0      0     0 ?        S    08:48   0:00 [ksoftirqd/5]
root         117  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/5:0H-events_highpri]
root         118  0.0  0.0      0     0 ?        S    08:48   0:00 [cpuhp/7]
root         119  0.0  0.0      0     0 ?        S    08:48   0:00 [idle_inject/7]
root         120  0.0  0.0      0     0 ?        S    08:48   0:00 [migration/7]
root         121  0.0  0.0      0     0 ?        S    08:48   0:00 [ksoftirqd/7]
root         123  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/7:0H-events_highpri]
root         124  0.0  0.0      0     0 ?        S    08:48   0:00 [cpuhp/9]
root         125  0.0  0.0      0     0 ?        S    08:48   0:00 [idle_inject/9]
root         126  0.0  0.0      0     0 ?        S    08:48   0:00 [migration/9]
root         127  0.0  0.0      0     0 ?        S    08:48   0:00 [ksoftirqd/9]
root         129  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/9:0H-events_highpri]
root         130  0.0  0.0      0     0 ?        S    08:48   0:00 [cpuhp/11]
root         131  0.0  0.0      0     0 ?        S    08:48   0:00 [idle_inject/11]
root         132  0.0  0.0      0     0 ?        S    08:48   0:00 [migration/11]
root         133  0.0  0.0      0     0 ?        S    08:48   0:00 [ksoftirqd/11]
root         135  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/11:0H-kblockd]
root         136  0.0  0.0      0     0 ?        S    08:48   0:00 [kdevtmpfs]
root         137  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/R-inet_frag_wq]
root         138  0.0  0.0      0     0 ?        I    08:48   0:00 [rcu_tasks_kthread]
root         139  0.0  0.0      0     0 ?        I    08:48   0:00 [rcu_tasks_rude_kthread]
root         140  0.0  0.0      0     0 ?        I    08:48   0:00 [rcu_tasks_trace_kthread]
root         141  0.0  0.0      0     0 ?        S    08:48   0:00 [kauditd]
root         142  0.0  0.0      0     0 ?        S    08:48   0:00 [khungtaskd]
root         143  0.0  0.0      0     0 ?        S    08:48   0:00 [oom_reaper]
root         146  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/R-writeback]
root         147  0.0  0.0      0     0 ?        S    08:48   0:00 [kcompactd0]
root         148  0.0  0.0      0     0 ?        SN   08:48   0:00 [ksmd]
root         149  0.0  0.0      0     0 ?        SN   08:48   0:00 [khugepaged]
root         150  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/R-kblockd]
root         151  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/R-blkcg_punt_bio]
root         152  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/R-kintegrityd]
root         153  0.0  0.0      0     0 ?        S    08:48   0:00 [irq/9-acpi]
root         155  0.0  0.0      0     0 ?        I    08:48   0:00 [kworker/1:1-events]
root         158  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/R-tpm_dev_wq]
root         159  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/R-ata_sff]
root         160  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/R-md]
root         161  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/R-md_bitmap]
root         162  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/R-edac-poller]
root         163  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/R-devfreq_wq]
root         164  0.0  0.0      0     0 ?        S    08:48   0:00 [watchdogd]
root         165  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/12:1H-kblockd]
root         166  0.1  0.0      0     0 ?        I    08:48   0:04 [kworker/15:1-i915-unordered]
root         167  0.0  0.0      0     0 ?        S    08:48   0:00 [kswapd0]
root         168  0.0  0.0      0     0 ?        S    08:48   0:00 [ecryptfs-kthread]
root         169  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/R-kthrotld]
root         170  0.0  0.0      0     0 ?        S    08:48   0:00 [irq/125-pciehp]
root         171  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/R-acpi_thermal_pm]
root         172  0.0  0.0      0     0 ?        I    08:48   0:02 [kworker/u80:3-kcryptd-252:0-1]
root         174  0.0  0.0      0     0 ?        S    08:48   0:00 [hwrng]
root         175  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/R-hfi-updates]
root         176  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/R-mld]
root         177  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/15:1H-i915_cleanup]
root         178  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/R-ipv6_addrconf]
root         182  0.0  0.0      0     0 ?        I    08:48   0:00 [kworker/4:1-events]
root         188  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/R-kstrp]
root         191  0.0  0.0      0     0 ?        I    08:48   0:00 [kworker/8:1-kacpi_notify]
root         195  0.0  0.0      0     0 ?        I    08:48   0:00 [kworker/19:1-mm_percpu_wq]
root         197  0.0  0.0      0     0 ?        I    08:48   0:00 [kworker/7:1-mm_percpu_wq]
root         211  0.0  0.0      0     0 ?        I    08:48   0:00 [kworker/4:2-events]
root         212  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/R-charger_manager]
root         213  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/0:1H-i915_cleanup]
root         239  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/14:1H-i915_cleanup]
root         242  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/6:1H-kblockd]
root         268  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/10:1H-i915_cleanup]
root         269  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/13:1H-i915_cleanup]
root         271  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/11:1H]
root         272  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/5:1H-i915_cleanup]
root         273  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/17:1H-kblockd]
root         275  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/7:1H-i915_cleanup]
root         276  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/16:1H]
root         280  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/18:1H-i915_cleanup]
root         283  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/3:1H-kblockd]
root         291  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/19:1H-kblockd]
root         313  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/1:1H-kblockd]
root         314  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/2:1H-i915_cleanup]
root         316  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/8:1H-i915_cleanup]
root         317  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/4:1H-kblockd]
root         319  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/R-nvme-wq]
root         320  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/R-nvme-reset-wq]
root         321  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/R-nvme-delete-wq]
root         322  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/R-nvme-auth-wq]
root         326  0.0  0.0      0     0 ?        S    08:48   0:00 [irq/161-UNIW0001:00]
root         327  0.0  0.0      0     0 ?        I    08:48   0:00 [kworker/5:2-events]
root         329  0.0  0.0      0     0 ?        S    08:48   0:00 [scsi_eh_0]
root         330  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/R-scsi_tmf_0]
root         331  0.0  0.0      0     0 ?        S    08:48   0:00 [usb-storage]
root         332  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/R-uas]
root         334  0.0  0.0      0     0 ?        I    08:48   0:00 [kworker/11:1-mm_percpu_wq]
root         335  0.0  0.0      0     0 ?        I    08:48   0:00 [kworker/0:2-kacpi_notify]
root         336  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/R-USBC000:00-con1]
root         337  0.0  0.0      0     0 ?        I    08:48   0:02 [kworker/16:2-events]
root         367  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/R-raid5wq]
root         407  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/R-USBC000:00-con2]
root         410  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/9:1H-kblockd]
root         572  0.0  0.0      0     0 ?        I<   08:49   0:00 [kworker/R-kdmflush/252:0]
root         573  0.0  0.0      0     0 ?        I<   08:49   0:00 [kworker/R-kcryptd_io-252:0-1]
root         575  0.0  0.0      0     0 ?        I<   08:49   0:00 [kworker/R-kcryptd-252:0-1]
root         576  0.0  0.0      0     0 ?        S    08:49   0:00 [dmcrypt_write/252:0]
root         582  0.0  0.0      0     0 ?        I<   08:49   0:00 [kworker/R-kdmflush/252:1]
root         612  0.0  0.0      0     0 ?        S    08:49   0:00 [jbd2/dm-1-8]
root         613  0.0  0.0      0     0 ?        I<   08:49   0:00 [kworker/R-ext4-rsv-conversion]
root         666  0.0  0.0  67468 17936 ?        SNs  08:49   0:00 /usr/lib/systemd/systemd-journald
root         702  0.0  0.0  30608  8544 ?        SNs  08:49   0:00 /usr/lib/systemd/systemd-udevd
root         731  0.0  0.0      0     0 ?        S    08:49   0:00 [psimon]
root         862  0.0  0.0      0     0 ?        I<   08:49   0:00 [kworker/R-cfg80211]
root         884  0.0  0.0      0     0 ?        S    08:49   0:00 [irq/187-mei_me]
root         892  0.0  0.0      0     0 ?        S    08:49   0:00 [nv_queue]
root         893  0.0  0.0      0     0 ?        S    08:49   0:00 [nv_queue]
root         894  0.0  0.0      0     0 ?        S    08:49   0:00 [nv_open_q]
root         896  0.0  0.0      0     0 ?        S    08:49   0:00 [irq/188-iwlwifi:default_queue]
root         897  0.0  0.0      0     0 ?        S    08:49   0:00 [irq/189-iwlwifi:queue_1]
root         899  0.0  0.0      0     0 ?        S    08:49   0:00 [irq/190-iwlwifi:queue_2]
root         900  0.0  0.0      0     0 ?        S    08:49   0:00 [irq/191-iwlwifi:queue_3]
root         901  0.0  0.0      0     0 ?        S    08:49   0:00 [irq/192-iwlwifi:queue_4]
root         902  0.0  0.0      0     0 ?        S    08:49   0:00 [irq/193-iwlwifi:queue_5]
root         903  0.0  0.0      0     0 ?        S    08:49   0:00 [irq/194-iwlwifi:queue_6]
root         904  0.0  0.0      0     0 ?        S    08:49   0:00 [irq/195-iwlwifi:queue_7]
root         906  0.0  0.0      0     0 ?        S    08:49   0:00 [irq/196-iwlwifi:queue_8]
root         907  0.0  0.0      0     0 ?        S    08:49   0:00 [irq/197-iwlwifi:queue_9]
root         908  0.0  0.0      0     0 ?        S    08:49   0:00 [irq/198-iwlwifi:queue_10]
root         909  0.0  0.0      0     0 ?        S    08:49   0:00 [irq/199-iwlwifi:queue_11]
root         910  0.0  0.0      0     0 ?        S    08:49   0:00 [irq/200-iwlwifi:queue_12]
root         912  0.0  0.0      0     0 ?        S    08:49   0:00 [irq/201-iwlwifi:queue_13]
root         913  0.0  0.0      0     0 ?        S    08:49   0:00 [irq/202-iwlwifi:queue_14]
root         914  0.0  0.0      0     0 ?        S    08:49   0:00 [irq/203-iwlwifi:exception]
root         939  0.0  0.0      0     0 ?        I<   08:49   0:00 [kworker/R-kdmflush/252:2]
root         940  0.0  0.0      0     0 ?        I<   08:49   0:00 [kworker/R-kcryptd_io-252:2-2]
root         942  0.0  0.0      0     0 ?        I<   08:49   0:00 [kworker/R-kcryptd-252:2-2]
root         943  0.0  0.0      0     0 ?        S    08:49   0:00 [dmcrypt_write/252:2]
root        1083  0.0  0.0      0     0 ?        S    08:49   0:00 [irq/16-processor_thermal_device_pci]
systemd+    1084  0.0  0.0  22176 13804 ?        SNs  08:49   0:00 /usr/lib/systemd/systemd-resolved
root        1143  0.0  0.0      0     0 ?        I<   08:49   0:00 [kworker/R-ttm]
root        1144  0.0  0.0      0     0 ?        S    08:49   0:00 [card0-crtc0]
root        1145  0.0  0.0      0     0 ?        S    08:49   0:00 [card0-crtc1]
root        1146  0.0  0.0      0     0 ?        S    08:49   0:00 [card0-crtc2]
root        1147  0.0  0.0      0     0 ?        S    08:49   0:00 [card0-crtc3]
root        1149  0.0  0.0      0     0 ?        S    08:49   0:00 [nvidia-modeset/kthread_q]
root        1150  0.0  0.0      0     0 ?        S    08:49   0:00 [nvidia-modeset/deferred_close_kthread_q]
message+    1176  0.0  0.0  11332  5268 ?        SNs  08:49   0:00 /usr/bin/dbus-broker-launch --scope system --audit
message+    1177  0.0  0.0   8700  4476 ?        S    08:49   0:01 dbus-broker --log 4 --controller 9 --machine-id 83969a9a882a6b6349454b97692d518c --max-bytes 536870912 --max-fds 4096 --max-matches 131072 --audit
root        1178  0.0  0.0 347280 20564 ?        SNsl 08:49   0:00 /usr/sbin/NetworkManager --no-daemon
root        1179  0.0  0.0 323576  8096 ?        SNsl 08:49   0:00 /usr/libexec/accounts-daemon
avahi       1181  0.0  0.0   8624  4524 ?        SNs  08:49   0:00 avahi-daemon: running [pop-os.local]
root        1182  0.0  0.0  13728  6940 ?        SNs  08:49   0:00 /usr/libexec/bluetooth/bluetoothd
root        1183  0.0  0.0 144084  6428 ?        SNs  08:49   0:02 /usr/bin/system76-power daemon
root        1184  0.0  0.0  84288 11100 ?        SNsl 08:49   0:00 /usr/bin/system76-scheduler daemon
root        1185  0.0  0.0 1429864 8132 ?        SNsl 08:49   0:00 /usr/bin/cosmic-greeter-daemon
root        1186  0.0  0.0  19256  2744 ?        SNs  08:49   0:00 /usr/sbin/cron -f -P
root        1194  0.0  0.0  44716 21268 ?        SNs  08:49   0:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root        1196  0.1  0.0 177716  8496 ?        SNsl 08:49   0:03 /usr/bin/nvidia-powerd
polkitd     1197  0.0  0.0 384328 10592 ?        SNsl 08:49   0:00 /usr/lib/polkit-1/polkitd --no-debug
root        1205  0.0  0.0 319948  7416 ?        SNsl 08:49   0:00 /usr/libexec/switcheroo-control
root        1225  0.0  0.0  18224  9160 ?        SNs  08:49   0:00 /usr/lib/systemd/systemd-logind
root        1231  0.0  0.0 434848 11320 ?        SNsl 08:49   0:00 /usr/sbin/thermald --systemd --dbus-enable --adaptive
root        1234  0.0  0.0 469836 17044 ?        SNsl 08:49   0:00 /usr/libexec/udisks2/udisksd
root        1235  0.0  0.0  18412 11872 ?        SNs  08:49   0:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
avahi       1241  0.0  0.0   8432  1488 ?        SN   08:49   0:00 avahi-daemon: chroot helper
root        1300  0.0  0.0 328160 10672 ?        SNsl 08:49   0:00 /usr/libexec/upowerd
syslog      1311  0.0  0.0 222540  6748 ?        SNsl 08:49   0:00 /usr/sbin/rsyslogd -n -iNONE
root        1313  0.0  0.0 318368 12656 ?        SNsl 08:49   0:00 /usr/sbin/ModemManager
root        1314  0.0  0.0 323772  8428 ?        SNsl 08:49   0:00 /usr/libexec/boltd
root        1352  0.0  0.6 374108 213276 ?       SN   08:49   0:02 /usr/bin/python3 /usr/sbin/execsnoop-bpfcc
root        1354  0.0  0.0      0     0 ?        S    08:49   0:00 [irq/205-nvidia]
root        1355  0.0  0.0      0     0 ?        S    08:49   0:00 [nvidia]
root        1356  0.0  0.0      0     0 ?        S    08:49   0:00 [nv_queue]
root        1444  0.0  0.0      0     0 ?        S    08:49   0:00 [psimon]
nvidia-+    1446  0.0  0.0   3336  2108 ?        Ss   08:49   0:00 /usr/bin/nvidia-persistenced --user nvidia-persistenced --no-persistence-mode --verbose
root        1454  0.0  0.0  47788 11516 ?        Ss   08:49   0:00 /usr/sbin/cupsd -l
root        1466  0.2  0.1 2310496 44244 ?       Ssl  08:49   0:06 /usr/bin/containerd
_chrony     1477  0.0  0.0  19408  4056 ?        S    08:49   0:00 /usr/sbin/chronyd -F 1
_chrony     1478  0.0  0.0  11272  3476 ?        S    08:49   0:00 /usr/sbin/chronyd -F 1
root        1630  0.0  0.0   3864  3836 ?        SNLs 08:49   0:00 greetd --config /etc/greetd/cosmic-greeter.toml
root        1631  0.0  0.0      0     0 ?        S    08:49   0:00 [UVM global queue]
root        1632  0.0  0.0      0     0 ?        S    08:49   0:00 [UVM deferred release queue]
root        1633  0.0  0.0      0     0 ?        S    08:49   0:00 [UVM Tools Event Queue]
rtkit       1678  0.0  0.0  22948  3488 ?        SNsl 08:49   0:00 /usr/libexec/rtkit-daemon
root        1722  0.0  0.0 153388 11840 ?        SNl  08:49   0:00 /usr/bin/system76-scheduler pipewire
root        1727  0.0  0.0      0     0 ?        S<   08:49   0:00 [krfcommd]
root        1809  0.0  0.0   7744  7716 tty1     SNLs+ 08:49   0:00 /usr/bin/greetd --session-worker 12
root        1851  0.0  0.0 1436040 9920 ?        SNsl 08:49   0:00 /usr/bin/pop-system-updater
cups-br+    1852  0.0  0.0 268360 19712 ?        SNsl 08:49   0:00 /usr/sbin/cups-browsed
root        1853  0.0  0.2 2721988 78232 ?       SNsl 08:49   0:00 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
ollama      1854  0.0  0.0 2152924 32180 ?       SNsl 08:49   0:00 /usr/local/bin/ollama serve
root        1953  0.0  0.0      0     0 ?        I    08:49   0:01 [kworker/u80:13-kcryptd-252:0-1]
root        1954  0.0  0.0      0     0 ?        I    08:49   0:02 [kworker/u80:14-kcryptd-252:0-1]
drsjr       2570  0.0  0.0  21012 12264 ?        Ss   08:50   0:00 /usr/lib/systemd/systemd --user
drsjr       2571  0.0  0.0  21192  3592 ?        S    08:50   0:00 (sd-pam)
drsjr       2581  0.0  0.0   9544  4136 ?        SNs  08:50   0:00 /usr/bin/dbus-broker-launch --scope user
drsjr       2585  0.0  0.0   6540  4448 ?        S    08:50   0:00 dbus-broker --log 4 --controller 9 --machine-id 83969a9a882a6b6349454b97692d518c --max-bytes 100000000000000 --max-fds 25000000000000 --max-matches 5000000000
drsjr       2586  0.0  0.0 120676 17796 ?        S<sl 08:50   0:00 /usr/bin/pipewire
drsjr       2587  0.0  0.0  99484  6152 ?        S<sl 08:50   0:00 /usr/bin/pipewire -c filter-chain.conf
drsjr       2590  0.0  0.1 652072 33512 ?        S<sl 08:50   0:00 /usr/bin/wireplumber
drsjr       2591  0.0  0.0 126544 18040 ?        S<sl 08:50   0:00 /usr/bin/pipewire-pulse
drsjr       2592  0.0  0.0 474040 10820 ?        SNLsl 08:50   0:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
drsjr       2602  0.0  0.0 144588  7136 tty1     SNl+ 08:50   0:00 /usr/bin/cosmic-session
drsjr       2648 10.9  0.5 2274508 190708 tty1   S<l+ 08:50   4:59 cosmic-comp
drsjr       2683  1.2  0.4 747188 130748 tty1    SNl+ 08:50   0:33 Xwayland :1 -verbose -rootless -terminate -wm 96 -displayfd 103 -listenfd 100 -listenfd 101
drsjr       2704  0.0  0.0 425524 12132 tty1     SNl+ 08:50   0:01 cosmic-settings-daemon
drsjr       2708  0.0  0.0 162660  6952 ?        SNsl 08:50   0:00 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
drsjr       2713  0.0  0.0 302208 21680 tty1     SNl+ 08:50   0:00 cosmic-notifications
